first_name,middle_name,last_name,fourth,fifth,sixth,seventh,eighth,0.0000
Cefimak,CV,200mg/125mg,Tablet,,,,,0.5608
Staben-I,6mg/400mg,Tablet,,,,,,0.3854
Ursodil,300mg,Capsule,,,,,,0.1490
M,Spas,20mg/325mg,Tablet,,,,,0.5974
Amyn,125mg,Tablet,,,,,,0.5576
METPRIDE,2,MG/500,MG,TABLET,,,,0.0333
GB,29,Plus,Tablet,,,,,0.6428
Zep,Kid,100mg,Tablet,,,,,0.8932
Zoxan,500,Tablet,,,,,,0.3808
Torpid,D,10mg/20mg,Tablet,,,,,0.7060
Odiwac,S,500mg/250mg,Injection,,,,,0.2448
Abkill,400mg,Tablet,,,,,,0.6643
Losalife,50mg,Tablet,,,,,,0.4445
Benipres,4mg,Tablet,,,,,,0.0738
Vizitra,200mg,Capsule,,,,,,0.1063
Galvus,Met,50mg/850mg,Tablet,,,,,0.1712
Cbcort,6mg,Tablet,,,,,,0.3550
Dpcm,500mg,Tablet,,,,,,0.6300
Predniwa,Eye,Drop,,,,,,0.4827
Zithem,500mg,Tablet,,,,,,0.7089
Leegen,500mg,Tablet,,,,,,0.4453
DNZ,200,Capsule,,,,,,0.4425
Nezylof,500mg/200mg,Tablet,,,,,,0.5921
DERMADEW,BABY,CREAM,80GM,,,,,0.3987
Himalaya,Clarina,Anti-acne,Cream,30gm,,,,0.5604
Elclox,DX,250mg/250mg,Capsule,,,,,0.3185
Octiprox,50mg,Syrup,,,,,,0.9928
Vstop,4mg,Injection,,,,,,0.6892
XO,Block,40mg,Tablet,,,,,0.7863
Talxone,250mg,Injection,,,,,,0.8245
Pantocid,20,Tablet,,,,,,0.0039
Purplz,100mg,Injection,,,,,,0.6480
Lincodec,25mg,Injection,,,,,,0.4701
Pantacid,40mg,Oral,Gel,,,,,0.2456
Cefimod,OF,200mg/200mg,Tablet,,,,,0.8188
Fungilife,200mg,Capsule,,,,,,0.3207
Obefex,O,Tablet,,,,,,0.7883
Nimocard,Infusion,,,,,,,0.0469
Pazopod,CL,200mg/125mg,Tablet,,,,,0.7335
Ocnil,25mg,Tablet,,,,,,0.5700
Valembic,80,AM,Tablet,,,,,0.3565
Epitaz,50mg,Injection,,,,,,0.2274
Sazomox,CV,DS,Dry,Syrup,,,,0.2103
PARACIP,TABLET,,,,,,,0.5390
Deocip,250mg,Tablet,,,,,,0.5539
Zaprinmax,15mg,Capsule,ER,,,,,0.2264
Lincosa,300mg,Injection,,,,,,0.6528
Betavertin,16mg,Tablet,,,,,,0.7963
Vistin,24mg,Tablet,,,,,,0.4053
Cfx,O,Tablet,,,,,,0.5760
Arh,Plus,60mg,Injection,,,,,0.5213
Miko,500mcg,Injection,,,,,,0.9929
Giarab,20mg,Tablet,,,,,,0.9959
Racigyl,Sachet,,,,,,,0.8004
Metlaze,500mg,Tablet,,,,,,0.3634
Oship,250mg,Tablet,,,,,,0.4272
Cefiwok,100mg,Tablet,DT,,,,,0.7377
Exigrow-F,Solution,,,,,,,0.8687
Piokind,30,Tablet,,,,,,0.9810
Addwet,Gel,Eye,Drop,,,,,0.0284
